INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"89,0% (49/55)","92,3% (12/13)","89,7% (61/68)"
Nombre des personnes passées aux PoE/PoC,91 403,51 100,142 503
% des voyageurs screenés,"95,4%","97,7%","96,2%"
% des voyageurs ayant lavé les mains,"94,9%","97,7%","95,9%"
% des voyageurs sensibilisés,"97,1%","97,7%","97,3%"
Nombre d’alertes notifiées,1,5,6
Nombre d’alertes vivantes validées,0,1,1
Nombre des corps sans vie interceptés ce jour,0,0,0
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"0,0%","100,0%","100,0%"
% des corps sans vie swabés,"0,0%","0,0%","0,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
