INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,100% (57/57),"100,0% (14/14)","100,0% (71/71)"
Nombre de personnes passées aux PoE/PoC,99 663,56 282,155 945
% des voyageurs screenés,"93,2%","97,9%","94,9%"
% des voyageurs ayant lavé les mains,"92,4%","97,9%","94,4%"
% des voyageurs sensibilisés,"99,4%","97,9%","98,9%"
Nombre d’alertes notifiées,10,0,10
Nombre d’alertes vivantes validées,5,0,5
Nombre des corps sans vie interceptés ce jour,2,0,2
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"100,0%",ND,"100,0%"
% des corps sans vie swabés,"100,0%",ND,"100,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
