Indicateurs,Ituri,Nord-Kivu,Haut-Uélé,Sud-Kivu,Global
Proportion de PoC activés et PoE renforcés,100 %,100 %,"36,4 %",100 %,"92,1 %"
Nombre de personnes passées aux PoE/PoC,147 918,97 087,5 780,7 660,258 445
% des voyageurs screenés,"98,0 %","97,5 %","99,4 %","97,5 %","97,8 %"
% des voyageurs ayant lavé les mains,"97,7 %","97,5 %","99,2 %","97,5 %","97,7 %"
% des voyageurs sensibilisés,"99,0 %","97,5 %","99,2 %",100 %,"98,5 %"
Nombre d’alertes notifiées,4,1,1,0,6
Nombre d’alertes vivantes validées,2,0,0,0,2
Nombre de corps sans vie interceptés ce jour,2,0,0,0,2
Nombre de contacts à problèmes interceptés ce jour,0,0,0,0,0
% d’alertes vivantes validées référées au CT/CTE,100 %,NA,NA,NA,100 %
% des corps sans vie swabés,50 %,NA,NA,NA,50 %
