INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Proportion des Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"9 (56,3%)","3(50,0%)",0
Proportion des cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"14 (20,9%)","2 (28,6%)","3 (100,0%)"
Proportion Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"12 (26,7%)",23,"5 (100,0%)"
Proportion cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"27 (22,0%)",87,"8 (100,0%)"
Proportion Résultats de laboratoire ayant été annoncé,36 (100%),4,"2 (100,0%)"
Dont positifs,"20 (55,6%)","4 (100,0%)",0
Proportion Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,0,0,"1 (100,0%)"
Proportion Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,63,23,"2 (33,3%)"
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,37,10,12
Nb PPL ayant bénéficié d'interventions SMSPS,30,13,0
Nb des ménages et communautés ayant bénéficié d'interventions SMSPS,52,67,0
Proportion des malades ayant bénéficié des Kit de dignité au CTE,0,0,0
