Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,709,141,ND,8,858
Patients au lit (J-1),557,182,ND,3,742
Total admissions (24 h),90,36,ND,0,126
Total admissions,647,218,ND,3,868
Sorties Décédés,24,8,ND,0,32
Sorties Non-cas,57,40,ND,0,97
Sorties Guéris,12,1,ND,0,13
Sorties Evadés,3,1,ND,0,4
Sorties Transférés à l'HGR,0,0,ND,0,0
Total sorties (24 h),96,50,ND,0,146
Patients en isolement (fin J),551,168,ND,3,722
dont confirmés,268,17,ND,0,285
dont suspects,283,151,ND,3,437
Taux d'occupation,"77,7%","119,1 %",ND,"37,5%","84,1 %"
