INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"85,5% (47/55)","92,3% (12/13)","86,8% (59/68)"
Nombre des personnes passées aux PoE/PoC,72 530,150 276,222 806
% des voyageurs screenés,"99,7%","97,5%","97,5%"
% des voyageurs ayant lavé les mains,"97,7%","97,6%","97,7%"
% des voyageurs sensibilisés,"94,6%","97,0%","96,6%"
Nombre d’alertes notifiées,4,0,4
Nombre d’alertes vivantes validées,1,0,1
Nombre des corps sans vie interceptés ce jour,1,0,1
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"100,0%","0,0%","100,0%"
% des corps sans vie swabé,"100,0%","0,0%","100,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
