INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"7 (38,9%)","3(100,0%)",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"45 (30,4%)","4(100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"8 (28,8%)","9(100,0%)",2
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"42 (33,9%)","3(100,0%)","2 (100,0%)"
Résultats de laboratoire ayant été annoncés,27,4,1
Dont positifs,0,3,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,0,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,7
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,128,1,0
Nb PPL ayant bénéficié d'interventions SMSPS,19,1,0
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,23,0,0
Nbre d'EDS appuyés,7,0,0
