Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Global
Complétude des rapports,"96,7% (58/60)",100% (19/19),"55,5% (5/9)",100% (18/18),"54,5% (6/11)","90,6% (106/117)"
% des PoE/PoC stratégiques fonctionnels,100%,100%,100%,100%,100%,100%
Nombre de personnes passées aux PoE/PoC,135 245,89 127,8 361,16 105,12 090,260 928
% des voyageurs screenés,"98,00%","97,65%","98,80%","99,10%","98,00%","97,90%"
% des voyageurs ayant lavé les mains,"97,20%","97,65%","98,80%","98,80%","97,00%","97,40%"
% des voyageurs sensibilisés,"99,40%","97,65%","100,00%","100,00%","100,00%","98,90%"
Nombre d’alertes notifiées,5,0,0,0,1,6
Nombre d’alertes vivantes validées (cas suspects),0,0,0,0,0,0
Nombre de corps sans vie interceptés ce jour,5,0,0,0,1,6
% des cas suspects transférés au CT/CTE,NA,NA,NA,NA,NA,NA
% des corps sans vie swabés/sécurisés,40% (2/5),NA,NA,NA,100% (1/1),50% (3/6)
% des cas suspects investigués dans 24 h,NA,NA,NA,NA,NA,NA
