INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"3 (5,8%)","2 (100,0%)",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"30 (20,4%)","7 (100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"7 (9,9%)","2 (100,0%)",0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"47 (36,4%)","7 (100,0%)","6 (100,0%)"
Résultats de laboratoire ayant été annoncés,4,3,0
Dont positifs,2,0,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,0,0,1
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,7,1,41
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,42,11,17
Nb PPL ayant bénéficié d'interventions SMSPS,15,6,12
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,16,25,7
Nbre d'EDS appuyés,0,0,0
