INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Proportion des nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"4 (12,9%)",2 (50%),0
Proportion des cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"25 (28,4%)","3 (100,0%)",1 (100%)
Proportion nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"6 (10,9%)",5 (100%),5 (100%)
Proportion cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"24 (20,2%)","13 (86,7%)",5 (100%)
Proportion Résultats de laboratoire ayant été annoncé,48,-,0
Dont positifs,"22 (45,8%)",-,0
Proportion Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,"11 (100,0%)",-,3 (100%)
Proportion Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,"6 (100,0%)",-,5 (100%)
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,62,ND,8
Nb PPL ayant bénéficié d'interventions SMSPS,29,ND,0
Nb des ménages et communautés ayant bénéficié d'interventions SMSPS,49,ND,7
Proportion des malades ayant bénéficié des Kit de dignité au CTE,"","",1 (100%)
