Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,"98,3 % (59/60)",100 % (18/18),"55,5 % (5/9)","77,3 % (17/22)",45 % (5/11),"42,1 % (8/19)","80,6 %"
% des PoE/PoC stratégiques fonctionnels,"9,09 % (1/11)",NA,NA,NA,NA,57 % (8/14),"36,0% (9/25)"
Nombre de personnes passées aux PoE/PoC,130 388,91 398,8 936,6 664,9 080,ND,246 466
% des voyageurs screenés,"98,0 %","96,9 %","98,5 %",100 %,"95,0 %",ND,"97,6 %"
% des voyageurs ayant lavé les mains,"96,0 %","96,9 %","98,5 %","99,5 %","85,0 %",ND,"96,1 %"
% des voyageurs sensibilisés,"99,4 %","96,9 %",100 %,100 %,"94,7 %",ND,"98,3 %"
Nombre d’alertes notifiées,02,1,0,0,0,0,3
Nombre d’alertes vivantes validées,02,0,0,0,0,0,2
Nombre de corps sans vie interceptés ce jour,0,1,0,0,0,0,1
% des cas suspects transférés au CT/CTE,50 % (1/2),0 %,0 %,0 %,0 %,0 %,50 % (1/2)
% des corps sans vie swabés/sécurisés,0 %,100 %,0 %,0 %,0 %,0 %,100 %
% des cas suspects investigués dans 24 h,100 %,100 %,0 %,0 %,0 %,0 %,100 %
