Health zone,Report of alerts (19/05),New alerts (20/05),Total alerts of the day (20/05),Living alerts,Alerts deceased,Investigated alerts,Non-investigated alerts,Validated alerts,Invalid alerts,Suspected cases collected,Non-preempted suspected cases,Isolated suspected cases,Non-isolated suspected cases
Nizi,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Lita,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Fataki,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Logo,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Aungba,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Rethy,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Komanda,0,2,2,2,1 (com),2,0,2,0,2,0,1,0
Bambu,0,1,1,0,1 (com),1,0,1,0,0,0 (deaths),0,0
Mangala,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Lolwa,0,1,1,0,1,1,0,1,0,0,1,0,0
