INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"5 (41,7%)",0,0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"61 (41,8%)",7,0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"8 (22,9%)",3,1
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"70 (52,2%)",5,"3 (100,0%)"
Résultats de laboratoire ayant été annoncés,7,4,0
Dont positifs,6,0,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,1,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,5
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,38,2,0
Nb PPL ayant bénéficié d'interventions SMSPS,28,2,0
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,31,0,0
Nbre d'EDS appuyés,6,0,0
