N°,Défis,Impact,Actions requises
1,Réticence aux prélèvements post mortem (EDS / swabs) et résistance communautaire,"Retard de confirmation, sous-estimation des cas, perturbation des activités clés","Intensifier la CREC, implication des leaders religieux et communautaires, renforcement de la sécurité des équipes"
2,"Capacité insuffisante en CTE et saturation en Ituri (103,3%)","Retards d’admission, augmentation du risque de transmission nosocomiale","Accélérer la construction et l’expansion des CTE, déployer des structures temporaires supplémentaires"
3,"Faible performance du suivi des contacts (72,3% vs cible 95%)",Chaînes de transmission non interrompues,"Former, déployer et motiver les relais communautaires (RECO), supervision renforcée"
4,"Surveillance insuffisante (36,5% d’alertes investiguées en Ituri)","Transmission non détectée, expansion silencieuse de l’épidémie","Renforcer la surveillance communautaire, améliorer la remontée et l’investigation rapide des alertes"
5,Cas confirmés non localisés ou non classifiés (~17 cas),Lacunes majeures dans la reconstruction des chaînes de transmission,"Conduire une réconciliation des données élaguer, les possibles doublons, et reclassifier ou préciser la zone de santé et le statut (décès, guéris, actifs, etc…) Vérification active sur le terrain"
6,Insuffisance d’approvisionnement en MEG et intrants médicaux,Fragilisation de la prise en charge globale,Plaidoyer et approvisionnement urgent en médicaments essentiels
7,"Insuffisance des intrants PCI (EPI, chlore) et formation limitée","Risque élevé d’infections nosocomiales (75 cas HCW, létalité 22,6%)","Approvisionnement urgent, renforcement des formations en PCI"
8,Stock des échantillons non encore analysés (backlog) au laboratoire au Nord-Kivu et diagnostic tardif,"Retard de confirmation, létalité élevée (58,4%)","Déployer plan de rattrapage laboratoire, renforcer capacités diagnostiques"
9,Insuffisance d’ambulances et de structures d’isolement (gap de 20 centres),"Retards de transfert et isolement, augmentation du risque de transmission",Déploiement urgent de moyens logistiques et infrastructures supplémentaires
10,Coordination insuffisante et faible utilisation des cadres COUSP,Inefficience opérationnelle et décisions retardées,"Renforcer les mécanismes de coordination à tous les niveaux, opérationnaliser les COUSP"
11,Insuffisance des ressources financières (gap 20 millions USD),Limitation de la mise en œuvre de tous les piliers de la riposte,"Mobilisation urgente des ressources, plaidoyer auprès des partenaires"
12,"Insécurité et accès limité (CODECO, ADF)","Restriction des opérations, accès limité aux zones à haut risque",Renforcement de la coordination sécuritaire et accès humanitaire
13,Faible remontée des alertes (notamment au Sud-Kivu),Retard dans la détection des cas,Renforcement de la surveillance communautaire et système d’alerte
14,Continuité des services essentiels (CEHS) compromise,Augmentation de la mortalité indirecte (non Ebola),"Mise en œuvre effective de la gratuité des soins, renforcement CEHS"
15,Forte mobilité des populations,Risque élevé d’expansion géographique rapide,Renforcer la surveillance aux PoE/PoC et coordination transfrontalière
