Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (CFR %)
ITURI,1631,535,"32,8%"
Bunia,487,141,"29,0%"
Rwampara,370,80,"21,6%"
Mongbwalu,315,167,"53,0%"
Nyankunde,97,22,"22,7%"
Nizi,104,36,"34,6%"
Lita,41,16,"39,0%"
Komanda,23,8,"34,8%"
Bambu,29,10,"34,5%"
Kilo,9,1,"11,1%"
Mangala,43,23,"53,5%"
Tchomia,15,2,"13,3%"
Damas,5,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,4,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,4,3,"75,0%"
Logo,7,0,"0,0%"
Drodro,3,3,"100,0%"
Gety,1,0,"0,0%"
Kambala,2,2,"100,0%"
Nia-Nia,35,13,"37,1%"
Fataki,4,1,"25,0%"
Mandima,5,2,"40,0%"
Lolwa,1,1,"100,0%"
Boga,1,1,"100,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,158,89,"56,3%"
Butembo,42,20,"47,6%"
Katwa,61,41,"67,2%"
Beni,29,19,"65,5%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,4,2,"50,0%"
Goma,1,0,"0,0%"
Masereka,3,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,8,2,"25,0%"
SUD-KIVU,3,1,"33,3%"
Miti-Murhesa,3,1,"33,3%"
TOTAL,1792,625,"34,9%"
