INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"14 (58,3%)",0,0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"67 (64,4%)","1 (100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"7 (43,8%)","4 (100,0%)",0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"60 (56,6%)","30 (100,0%)","2 (100,0%)"
Résultats de laboratoire ayant été annoncés,30,19,0
Dont positifs,15,2,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,0,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,1,0,14
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,85,8,0
Nb PPL ayant bénéficié d'interventions SMSPS,18,7,2
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,5,2,0
Nbre d'EDS appuyés,13,4,0
