INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"12 (60,0%)",0%,0%
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"34 (37,3%)","3 (75,0%)",1 (100%)
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"12 (28,7%)","7 (58,3%)",0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"16 (16,8%)","16 (72,7%)",5 (100%)
Résultats de laboratoire ayant été annoncé,24,"1 (50,0%)",ND
Dont positifs,14 (56%),"1 (100,0%)",ND
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,1 (100%),"3 (100,0%)",3
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,5,ND,3
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,37,ND,6
Nb PPL ayant bénéficié d'interventions SMSPS,6,8,0
Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS,115,17,10
Malades ayant bénéficié des Kit de dignité au CTE,0,"6 (85,7%)",1 (100%)
