INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"1 (12,5%)","0,0%",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"105 (58,6%)","7(100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"11 (27,5%)","8(100,0%)",2
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"122 (77,7%)","16(100,0%)","2 (100,0%)"
Résultats de laboratoire ayant été annoncés,14,2,1
Dont positifs,0,0,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,10,1,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,7
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,110,24,0
Nb PPL ayant bénéficié d'interventions SMSPS,43,0,0
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,62,0,0
Nbre d'EDS appuyés,31,0,0
