Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"16 (94,1%)",1 (100%)
Cas confirmés en cours de suivi,"78 (56,1%)",10 (100 %)
Nouveaux cas suspects,"16 (46,4%)",8 (100 %)
Cas suspects en cours de suivi,"93 (61,7 %)",14 (100 %)
Résultats de laboratoire annoncés (dont positifs),33 (12),12 (5)
Enfants séparés — crèche / communauté,0/0,0/0
Accompagnants au CTE,198,10
Personnels de première ligne (PPL),10,6
Membres des ménages et communautés,31,0
EDS appuyés (SMSPS),6,0
