Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,"88,3 %",100 %,"55,5 %","88,8 %","64,0 %","34,6 %","76,2 %"
% des PoE/PoC stratégiques fonctionnels,"9,1 %",NA,NA,NA,"64,0 %",NA,"36,4 %"
Nombre de personnes passées aux PoE/PoC,128 390,89 946,7 820,9 534,12 709,4 283,252 682
% des voyageurs screenés,"98,0 %","98,2 %","98,6 %","99,0 %","99,0 %","98,6 %","98,1 %"
% des voyageurs ayant lavé les mains,"96,9 %","98,2 %","98,6 %","99,0 %","99,0 %","98,6 %","97,7 %"
% des voyageurs sensibilisés,"99,1 %","98,2 %",100 %,100 %,"99,0 %","94,4 %","98,9 %"
Nombre d’alertes notifiées,1,1,0,0,0,2,4
Nombre d’alertes vivantes validées (cas suspects),0,0,0,0,0,0,0
Nombre de corps sans vie interceptés ce jour,1,1,0,0,0,0,2
% des cas suspects transférés au CT/CTE,NA,NA,NA,NA,NA,NA,NA
% des corps sans vie swabés/sécurisés,100 %,100 %,NA,NA,NA,NA,100 %
% des cas suspects investigués dans 24 h,100 %,100 %,NA,NA,NA,NA,100 %
