Province,Zone de sante,Cas confirmes,Deces confirmes - statut final,Taux de letalite global (communautaire+intra Hosp),Deces a la notification,Cas confirmes notifies dans 24h,Deces confirmes parmi les notifies dans 24h,Taux de letalite parmi les cas notifies dans le 24h de leur DDS,Deces a la notification OU notifies dans 24h,Proportion des décès communautaire,Cas confirmes notifies apres 24h,Deces confirmes parmi les notifies apres 24h,Taux de letalite parmi les cas notifies après 24h
Ituri,Bunia,465,90,19.4%,88,109,20,18.3%,88,98.9%,307,60,19.5%
Ituri,Rwampara,362,67,18.5%,49,111,25,22.5%,55,82.1%,199,30,15.1%
Ituri,Mongbwalu,283,105,37.1%,105,66,27,40.9%,105,100.0%,204,72,35.3%
Ituri,Nizi,110,33,30.0%,32,21,9,42.9%,32,97.0%,81,13,21.3%
Ituri,Nyankunde,100,7,7.0%,6,38,2,5.3%,6,85.7%,59,5,8.5%
Ituri,Lita,45,17,37.8%,17,11,4,36.4%,17,100.0%,25,9,36.0%
Ituri,Mangala,35,15,42.9%,15,9,4,44.4%,15,100.0%,7,1,14.3%
Ituri,Bambu,27,6,22.2%,6,7,0,0.0%,6,100.0%,14,3,21.4%
Ituri,Komanda,22,6,27.3%,6,6,1,16.7%,6,100.0%,11,4,36.4%
Ituri,Tchomia,18,7,38.9%,4,4,1,25.0%,4,57.1%,13,6,46.2%
Ituri,Kilo,12,2,16.7%,2,3,0,0.0%,2,100.0%,7,2,28.6%
Ituri,Nia Nia,9,3,33.3%,3,2,0,0.0%,3,100.0%,5,2,40.0%
Ituri,Damas,7,2,28.6%,2,1,0,0.0%,2,100.0%,4,1,25.0%
Ituri,Aungba,5,2,40.0%,2,3,1,33.3%,2,100.0%,1,0,0.0%
Ituri,Mambasa,5,3,60.0%,3,1,0,0.0%,3,100.0%,1,0,0.0%
Ituri,Aru,4,1,25.0%,1,2,1,50.0%,1,100.0%,1,0,0.0%
Ituri,Mandima,4,1,25.0%,1,0,0,0.0%,1,100.0%,3,1,33.3%
Ituri,Drodro,3,3,100.0%,3,0,0,0.0%,3,100.0%,3,3,100.0%
Ituri,Rimba,2,0,0.0%,0,0,0,0.0%,0,0.0%,2,0,0.0%
Ituri,Logo,2,0,0.0%,0,1,0,0.0%,0,0.0%,1,0,0.0%
Ituri,Fataki,1,0,0.0%,0,0,0,0.0%,0,0.0%,1,0,0.0%
Ituri,Gety,1,0,0.0%,0,1,0,0.0%,0,0.0%,0,0,0.0%
Ituri,Kambala,1,0,0.0%,0,0,0,0.0%,0,0.0%,0,0,0.0%
Ituri,Lolwa,1,1,100.0%,1,0,0,0.0%,1,100.0%,1,1,100.0%
Nord Kivu,Katwa,56,28,50.0%,28,45,25,55.6%,28,100.0%,8,2,25.0%
Nord Kivu,Beni,28,17,60.7%,13,5,4,80.0%,13,76.5%,17,9,52.9%
Nord Kivu,Butembo,24,11,45.8%,9,6,2,33.3%,10,90.9%,18,9,50.0%
Nord Kivu,Kalunguta,2,1,50.0%,0,1,0,0.0%,0,0.0%,0,0,0.0%
Nord Kivu,Kyondo,2,1,50.0%,0,0,0,0.0%,0,0.0%,2,1,50.0%
Nord Kivu,Goma,1,0,0.0%,0,1,0,0.0%,0,0.0%,0,0,0.0%
Nord Kivu,Mabalako,1,0,0.0%,0,0,0,0.0%,0,0.0%,1,0,0.0%
Sud Kivu,Miti Murhesa,3,1,33.3%,1,0,0,0.0%,1,100.0%,1,1,100.0%
TOTAL,TOTAL,"1,641",430,26.2%,397,454,126,27.8%,405,94.2%,976,235,24.1%
