INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"98,2% (54/55)","100,0% (14/14)","98,6% (68/69)"
Nombre de personnes passées aux PoE/PoC,103 467,56 445,159 912
% des voyageurs screenés,"93,0%","98,2%","94,9%"
% des voyageurs ayant lavé les mains,"93,0%","98,2%","94,8%"
% des voyageurs sensibilisés,"99,5%","98,2%","99,0%"
Nombre d’alertes notifiées,7,0,7
Nombre d’alertes vivantes validées,7,0,7
Nombre des corps sans vie interceptés ce jour,0,0,0
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"85,7%",ND,"85,7%"
% des corps sans vie swabés,ND,ND,ND
Nombre de résultat positif des cas suspects référés,0,0,0
