Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,3912,1702,"43,5%",98,39,10,49
Adja,11,1,"9,1%","","","",0
Aru,7,6,"85,7%","","","",0
Ariwara,7,2,"28,6%","","","",0
Aungba,10,5,"50,0%","","","",0
Bambu,93,22,"23,7%","","","",0
Boga,1,1,"100,0%","","","",0
Bunia,1072,329,"30,7%",29,12,"",12
Damas,20,9,"45,0%",2,1,"",1
Drodro,12,6,"50,0%","","","",0
Fataki,55,29,"52,7%","","","",0
Gethy,2,1,"50,0%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,30,12,"40,0%",1,1,"",1
Komanda,42,29,"69,0%","","","",0
Lita,169,97,"57,4%",6,1,"",1
Logo,11,5,"45,5%","","","",0
Lolwa,11,4,"36,4%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,13,6,"46,2%","","","",0
Mandima,19,13,"68,4%","","","",0
Mangala,120,76,"63,3%",4,2,"",2
Mongbwalu,579,281,"48,5%",3,1,"",1
Nia-Nia,146,87,"59,6%",4,3,"",3
Nizi,502,231,"46,0%",13,4,"",4
Nyankunde,117,35,"29,9%",1,0,"",0
Rimba,9,4,"44,4%","","","",0
Rwampara,800,316,"39,5%",35,14,"",14
Tchomia,48,24,"50,0%","","","",0
A ventiler,NA,69,NA,"","",10,10
Nord-Kivu,528,369,"69,9%",18,9,6,15
Beni,80,62,"77,5%",2,1,1,2
Butembo,105,86,"81,9%",2,1,"",1
Goma,1,0,"0,0%","","","",0
Kalunguta,10,4,"40,0%","","","",0
Katwa,249,166,"66,7%",10,6,4,10
Kyondo,13,10,"76,9%","","","",0
Lubero,1,1,"100,0%","","","",0
Mabalako,1,0,"0,0%","","","",0
Masereka,7,4,"57,1%","","","",0
Musienene,53,31,"58,5%",4,1,1,2
Oicha,5,4,"80,0%","","","",0
Vuhovi,3,1,"33,3%","","","",0
Haut-Uélé,115,51,"44,3%",2,2,1,3
Boma Mangbetu,20,5,"25,0%","","","",0
Gombari,1,1,"100,0%","","","",0
Isiro,33,18,"54,5%",2,2,"",2
Pawa,17,11,"64,7%","","","",0
Rungu,1,0,"0,0%","","","",0
Wamba,43,16,"37,2%","",1S,1,2
Tshopo,9,5,"55,6%",0,0,0,0
Bafwasende,1,0,"0,0%","","","",0
Kabondo,2,1,"50,0%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,3,3,"100,0%","","","",0
Mangobo,1,1,"100,0%","","","",0
Wanie-Rukula,1,0,"0,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Total,4566,2128,"46,6%",118,50,17,67
