N°,Défis,Impact,Actions requises
1,"Réticence aux prélèvements post-mortem (EDS/swabs), résistance communautaire et insécurité visant les équipes EDS (attaque au pont Muchanga, paralysie des activités à Nyankunde)","Retard de confirmation, sous-estimation des cas, perturbation des activités clés","Intensifier la CREC, impliquer les leaders religieux et communautaires, sécuriser les équipes, augmenter le nombre d'équipes EDS"
2,Non-paiement des prestataires (grève dans les ZS de Bunia et de Rwampara ; reprise annoncée après l'intervention du gouverneur militaire de l'Ituri),"Interruption des activités de riposte, dont les enterrements dignes et sécurisés",Régulariser le paiement des prestataires ; sécuriser un financement dédié
3,"Capacité des CTE/CT insuffisante : occupation de 119,1 % au Nord-Kivu (capacités de lits : 141) et de 77,7 % en Ituri (551 patients pour 709 lits) ;","Retards d'admission, augmentation du risque de transmission nosocomiale","Accélérer la construction et l'expansion des CTE, déployer des structures temporaires, rapporter systématiquement les capacités en lits"
4,"Performance du suivi des contacts faible en Ituri 73,3 % ; Nord-Kivu 77,7%",Chaînes de transmission non interrompues,"Former, déployer et motiver les relais communautaires (RECO) ; supervision renforcée ; investiguer la chute observée en Ituri"
5,Insuffisance d'ambulances et prépositionnement aux PoC,Retards de transfert et d'isolement,"Prépositionner des ambulances (dont aux PoE/PoC), déployer des CT par ZS"
6,Insuffisance d'approvisionnement en MEG et intrants médicaux,Fragilisation de la prise en charge globale,Plaidoyer et approvisionnement urgent en médicaments essentiels
7,"Insuffisance des intrants PCI (EPI, chlore) et unités de triage fonctionnelles limitées (175/1 170, soit 15 %)",Risque élevé d'infections nosocomiales (121 cas PPL dont 36 décès),"Approvisionnement urgent, renforcement des formations en PCI"
8,"Extension géographique (Haut-Uélé, Tshopo) et forte mobilité","Risque de diffusion urbaine, fluviale et transfrontalière",Activer les 23 PoE/PoC prioritaires du Haut-Uélé ; renforcer la coordination transfrontalière
9,"Installation de laboratoires de proximité (Butembo, Mambasa et Logo)","Délais de confirmation longs, transmission non détectée",Accélérer le déploiement des capacités diagnostiques décentralisées
10,Insuffisance des ressources financières,Limitation de la mise en œuvre des piliers,"Mobilisation urgente des ressources, plaidoyer auprès des partenaires"
11,"Insécurité et accès limité (CODECO, ADF)",Restriction des opérations,Renforcement de la coordination sécuritaire et de l'accès humanitaire
12,Continuité des services essentiels (CEHS) compromise,Augmentation de la mortalité indirecte (non-Ebola),"Mise en œuvre effective de la gratuité des soins, renforcement CEHS"
