Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),"Létalité (CFR, %)"
ITURI,1020,238,"23,3%"
Bunia,304,54,"17,8%"
Rwampara,225,37,"16,4%"
Mongbwalu,241,103,"42,7%"
Nyankunde,86,9,"10,5%"
Nizi,30,6,"20,0%"
Lita,26,6,"23,1%"
Komanda,13,3,"23,1%"
Bambu,14,2,"14,3%"
Kilo,7,1,"14,3%"
Mangala,17,8,"47,1%"
Tchomia,8,0,"0,0%"
Damas,4,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,3,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,2,1,"50,0%"
Logo,5,0,"0,0%"
Drodro,1,1,"100,0%"
Gety,1,0,"0,0%"
Kambala,1,1,"100,0%"
Nia-Nia,5,3,"60,0%"
Fataki,1,0,"0,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,95,52,"54,7%"
Butembo,29,13,"44,8%"
Katwa,32,19,"59,4%"
Beni,20,12,"60,0%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,3,2,"66,7%"
Goma,1,0,"0,0%"
Masereka,1,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,2,2,"100,0%"
SUD-KIVU,3,1,"33,3%"
Miti-Murhesa,3,1,"33,3%"
TOTAL,1118,291,"26,0%"
