Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"16 (66 ,7%)",5 (100%)
Cas confirmés en cours de suivi,"150 (96 ,8%)",13 (100 %)
Nouveaux cas suspects,"39 (46,4%)",6 (100 %)
Cas suspects en cours de suivi,"103 (57,2 %)",16 (100 %)
Résultats de laboratoire annoncés (dont positifs),43,12
Enfants séparés — crèche / communauté,16,5
Accompagnants au CTE,0,0
Personnels de première ligne (PPL),224,0
Membres des ménages et communautés,36,6
EDS appuyés (SMSPS),6,6
