INDICATEURS,Ituri,Nord-Kivu,Kinshasa,Global
Complétude des rapports,100% (44/44),100% (12/12),100% (4/4),100% (60/60)
Proportion de PoC activés et PoE renforcés,80% (44/55),"92,3%(12/13)",100%(4/4),"83,3%(60/72)"
Nombre des personnes passées aux PoE/PoC,83 708,43 021,6 825,133 554
% des voyageurs screenés,"98,0%","97,1%","92,9%","96,0%"
% des voyageurs ayant lavé les mains,"97,5%","97,1%","90,8%","97,2%"
% des voyageurs sensibilisés,"95,3%","97,1%","90,7%","94,4%"
Nombre d’alertes notifiées,4,0,0,4
Nombre d’alertes vivantes validées,1,0,0,1
Nombre des corps sans vie interceptés ce jour,3,0,0,3
Nombre des contacts à problème interceptés ce jour,0,0,0,0
% d’alertes vivantes validées référées au CT/CTE,0,0,0,0
% des corps sans vie swabé,0,0,0,0
Nombre de résultat positif des cas suspects référés,0,0,0,0
