INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"65 (100,0%)","1 (100,0%)",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"51 (47,7%)","12 (100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"7 (26,9%)","6 (100,0%)",0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"56 (43,1%)","16 (100,0%)","3 (100,0%)"
Résultats de laboratoire ayant été annoncés,26,6,0
Dont positifs,16,1,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,"2 (100,0%)","0 (0,0%)","1 (100,0%)"
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,31
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,34,15,4
Nb PPL ayant bénéficié d'interventions SMSPS,7,6,22
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,8,32,0
Nbre d'EDS appuyés,0,4,0
