INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"1 (4,2%)",0,0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"53 (52,0%)","4 (100,0%)","1 (100,0%)"
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"18 (72,0%)","6 (60,0%)","2 (100,0%)"
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"7 (8,0%)","22 (78,6%)","7 (100,0%)"
Résultats de laboratoire ayant été annoncé,10,0,5
Dont positifs,"2 (20,0%)",0,""
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,1,0,""
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,7,""
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,30,10,5
Nb PPL ayant bénéficié d'interventions SMSPS,26,14,6
Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS,32,5,7
Nbre d'EDS appuyés,1,4,0
