INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"98,1% (54/55)","100,0% (14/14)","98,5% (68/69)"
Nombre de personnes passées aux PoE/PoC,91 610,62 320,153 930
% des voyageurs screenés,"94,2%","96,8%","95,2%"
% des voyageurs ayant lavé les mains,"95,1%","96,8%","95,8%"
% des voyageurs sensibilisés,"97,6%","96,8%","97,3%"
Nombre d’alertes notifiées,9,3,12
Nombre d’alertes vivantes validées,7,3,10
Nombre des corps sans vie interceptés ce jour,2,0,2
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,100%,"33,3%","80,0%"
% des corps sans vie swabés,"100,0%",NA,"100,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
