Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),"Létalité (CFR, %)"
ITURI,1054,250,"23,7%"
Bunia,314,60,"19,1%"
Rwampara,237,40,"16,9%"
Mongbwalu,245,105,"42,9%"
Nyankunde,91,10,"11,0%"
Nizi,30,6,"20,0%"
Lita,26,6,"23,1%"
Komanda,13,3,"23,1%"
Bambu,14,2,"14,3%"
Kilo,9,1,"11,1%"
Mangala,17,8,"47,1%"
Tchomia,9,0,"0,0%"
Damas,4,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,3,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,2,1,"50,0%"
Logo,5,0,"0,0%"
Drodro,1,1,"100,0%"
Gety,1,0,"0,0%"
Kambala,1,1,"100,0%"
Nia-Nia,5,3,"60,0%"
Fataki,1,0,"0,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,98,53,"54,1%"
Butembo,31,13,"41,9%"
Katwa,33,20,"60,6%"
Beni,20,12,"60,0%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,3,2,"66,7%"
Goma,1,0,"0,0%"
Masereka,1,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,2,2,"100,0%"
SUD-KIVU,3,1,"33,3%"
Miti-Murhesa,3,1,"33,3%"
TOTAL,1155,304,"26,3%"
