Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24 h) Nouv. cas,Situation du jour (24 h) Décès notif.
Ituri,1 772,608,"34,3 %",27,7
Bunia,503,156,"31,0 %",11,3
Rwampara,384,89,"23,2 %",3,1
Mongbwalu,329,171,"52,0 %","",""
Nizi,110,36,"32,7 %",5,0
Nyankunde,97,23,"23,7 %","",""
Mangala,50,29,"58,0 %","",""
Lita,45,19,"42,2 %",6,2
Nia-Nia,35,13,"37,1 %","",""
Bambu,31,10,"32,3 %","",""
Komanda,25,8,"32,0 %","",""
Tchomia,19,4,"21,1 %","",""
Non identifiées,17,0,"0,0 %","",""
Kilo,9,1,"11,1 %","",""
Mandima,8,3,"37,5 %","",""
Logo,7,0,"0,0 %","",""
Aungba,6,2,"33,3 %","",""
Damas,5,0,"0,0 %","",""
Mambasa,5,4,"80,0 %","",""
Rimba,4,0,"0,0 %","",""
Fataki,4,1,"25,0 %",1,1
Drodro,4,3,"75,0 %",1,0
Aru,3,1,"33,3 %","",""
Kambala,2,2,"100,0 %","",""
Gety,1,0,"0,0 %","",""
Lolwa,1,1,"100,0 %","",""
Boga,1,1,"100,0 %","",""
Ariwara,1,1,"100,0 %","",""
Nord-Kivu,177,100,"56,5 %",4,3
Katwa,71,47,"66,2 %",2,2
Butembo,44,20,"45,5 %",2,1
Beni,30,20,"66,7 %","",""
Musienene,10,2,"20,0 %","",""
Kyondo,7,3,"42,9 %","",""
Oicha,3,2,"66,7 %","",""
Masereka,3,0,"0,0 %","",""
Kalunguta,2,1,"50,0 %","",""
Goma,1,0,"0,0 %","",""
Vuhovi,1,1,"100,0 %","",""
Mabalako,1,0,"0,0 %","",""
Sud-Kivu,3,1,"33,3 %",—,—
Miti-Murhesa,3,1,"33,3 %","",""
Haut-Uélé,7,7,"100,0 %",—,—
Wamba,7,7,"100,0 %","",""
Tshopo,4,3,"75,0 %",—,—
Makiso-Kisangani,2,2,"100,0 %","",""
Mangobo,1,0,"0,0 %","",""
Lubunga,1,0,"0,0 %","",""
Total,1 963,718,"36,6 %",31,10
