INDICATEURS CLES,ITURI,SUD-KIVU,NORD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,7(100 %),0,3(20%)
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"35(42,7%)",1 (100%),5(25%)
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"13(59,1%)",0,7(35%)
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"46(58,2)",6(100%),"10(47,6)"
Résultats de laboratoire ayant été annoncé,17,0,8
Dont positifs,8,0,4
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,1(100%),1 (100%),3
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,4,8
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,62,8,30
Nb PPL ayant bénéficié d'interventions SMSPS,6,5,0
Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS,38,7,7
Nbre d'EDS appuyés,0,0,0
