INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"2(11,1%)","1 (33,3%)",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"68 (38,9%)","2 (100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"11(17,7%)","7 (100,0%)",0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"50 (30,9%)","15 (100,0%)",0
Résultats de laboratoire ayant été annoncés,26,3,1
Dont positifs,4,1,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,"8(100,0%)","0,00%","0,00%"
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,1,30
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,29,22,4
Nb PPL ayant bénéficié d'interventions SMSPS,7,5,18
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,6,28,0
Nbre d'EDS appuyés,0,3,0
