INDICATEURS CLES,ITURI,SUD-KIVU,NORD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"2(28,5%)",0,0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"34 (25,9%)","5 (41,7%)",1 (100%)
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"9 (19,1%)","5 (62,5%)",2 (100%)
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,36 (27%),"16 (28,1%)",6 (100%)
Résultats de laboratoire ayant été annoncés,7,0,11
Dont positifs,3,0,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,0,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,2,9
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,44,4,3
Nb PPL ayant bénéficié d'interventions SMSPS,28,8,15
Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS,69,20,8
Nbre d'EDS appuyés,0,0,0
