Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Global
Complétude des rapports,"93,3% (56/60)",100% (19/19),"55,5% (5/9)",100% (18/18),"54,5% (6/11)","88,9% (104/117)"
% des PoE/PoC stratégiques fonctionnels,100%,100%,100%,100%,100%,100%
Nombre de personnes passées aux PoE/PoC,148 004,86 590,7 028,17 910,10 048,269 580
% des voyageurs screenés,"97,60%","97,60%","98,30%","99,10%","97,60%","97,70%"
% des voyageurs ayant lavé les mains,"97,30%","97,60%","98,30%","99,30%","96,10%","97,50%"
% des voyageurs sensibilisés,"99,60%","97,60%","100,00%","100,00%","100,00%","99,00%"
Nombre d’alertes notifiées,3,1,0,0,0,4
Nombre d’alertes vivantes validées (cas suspects),1,1,0,0,0,2
Nombre de corps sans vie interceptés ce jour,1,0,0,0,0,1
% des cas suspects transférés au CT/CTE,100%,100%,NA,NA,NA,100%
% des corps sans vie swabés/sécurisés,100%,NA,NA,NA,NA,100%
% des cas suspects investigués dans 24 h,100%,100%,NA,NA,NA,100%
