Zones de santé,Report des alertes (21/05),Nouvelles alertes (22/05),Total des alertes du jour (22/05),Alertes vivants,Alertes décédés,Alertes investiguées,Alertes non investiguées,Alertes validées,Alertes invalidées,Cas suspects prélevés,Cas suspects non prélévés,Cas suspects isolés,Cas suspects non isolés
Bunia,4,28,32,28,4,32,0,32,0,15,17,28,0
Rwampara,12,10,22,16,6,15,7,14,8,14,8,8,8
Nyankunde,0,9,9,7,2,7,2,9,0,4,5,6,1
Mongbwalu,0,11,11,7,4,7,4,10,1,8,3,7,0
Nizi,0,1,1,1,0,1,0,1,0,1,0,1,0
Aru,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Kilo,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Bambu,0,2,2,2,0,2,0,2,0,1,1,0,2
Adi,0,5,5,5,0,5,0,5,0,5,0,5,0
Lita,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Fataki,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Logo,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Aungba,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Rethy,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Komanda,0,1,1,1,0,1,0,1,0,1,0,1,0
Nyarambe,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Tchomia,0,1,1,1,0,1,0,1,0,1,0,1,0
Drodro,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Mambassa,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Mangala,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Lolwa,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Total,16,68,84,68,16,71,13,75,9,50,34,57,11
