INDICATEURS CLES,ITURI,SUD-KIVU,NORD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,4 (80%),0,ND
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"56 (61,5%)",1(100%),ND
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"14(43,8%)",2(100%),ND
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,45 (60%),0,ND
Résultats de laboratoire ayant été annoncé,14,7,ND
Dont positifs,11,0,ND
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,0,1(100%),ND
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,5,1,ND
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,39,0,ND
Nb PPL ayant bénéficié d'interventions SMSPS,7,0,ND
Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS,183,0,ND
Nbre d'EDS appuyés,0,0,ND
