Priorité,Action,Pilier responsable,Échéance
1,Formation des prestataires sur l'utilisation de la PCR RADIONE,Laboratoire,J+2
2,Briefing des prestataires sur la surveillance MVE et la SBC dans les zones touchées et à haut risque,Surveillance/CREC,J+3
3,Briefing des agents communautaires sur la surveillance MVE et la SBC (province Ituri),Surveillance/CREC,J+3
4,Accompagnement supervisé du Directeur Général de l'INSP dans les piliers techniques,Coordination,Continu
5,Rattrapage du suivi des contacts en Ituri reste encore faible,Surveillance,J+7
6,Renforcement PCI et formation du personnel à Nyankunde et autres zones nosocomiales,PCI,J+2
7,Déploiement d'un tableau de bord quotidien standardisé avec KPI par pilier,Coordination,J+3
8,Plan de rattrapage des échantillons en attente d'analyse au Nord-Kivu,Laboratoire,J+2
9,"Nord-Kivu : sortie du cas guéri à Goma (J+1), réponse aux incidents sécuritaires (incursion ADF), formation PCI à l'HGR Virunga, extension CREC à 15 000 ménages","",J+2
10,"Sud-Kivu : dotation de 2 véhicules supplémentaires, installation d'un kit Internet à Miti-Murhesa, crédits de communication pour les IT/ECZS","",J+2
