Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24 h) Nouv. cas,Situation du jour (24 h) Décès communautaires (Swab+).,Situation du jour (24 h) Décès confirmés intra-CTE,Situation du jour (24 h) Total décès confirmés
Ituri,2 595,1 077,"41,5 %",73,33,12,45
Adja,10,1,"10,0%","","","",""
Aru,5,1,"20,0%","","","",""
Ariwara,7,1,"14,3%","","","",""
Aungba,4,4,"100,0%","","","",""
Bambu,51,9,"17,6%",4,4,0,4
Boga,1,1,"100,0%","","","",""
Bunia,696,175,"25,1%",10,3,4,7
Damas,13,8,"61,5%","","","",""
Drodro,6,4,"66,7%","","","",""
Fataki,17,6,"35,3%",4,1,0,1
Gethy,1,0,"0,0%","","","",""
Kambala,2,0,"0,0%","","","",""
Kilo,23,11,"47,8%","","","",""
Komanda,30,21,"70,0%",1,1,0,1
Lita,101,58,"57,4%",2,2,1,3
Logo,8,3,"37,5%",2,0,0,0
Lolwa,4,1,"25,0%","","","",""
Mahagi,1,1,"100,0%","","","",""
Mambasa,7,4,"57,1%","","","",""
Mandima,13,9,"69,2%","","","",""
Mangala,86,59,"68,6%",2,2,0,2
Mongbwalu,482,226,"46,9%",2,0,4,4
Nia Nia,78,41,"52,6%",8,2,1,3
Nizi,308,144,"46,8%",24,18,1,19
Nyankunde,114,30,"26,3%","","","",""
Rimba,7,4,"57,1%","","","",""
Rwampara,481,231,"48,0%",14,0,1,1
Tchomia,39,24,"61,5%","","","",""
Nord-Kivu,275,172,"62,5 %",18,6,8,14
Beni,41,29,"70,7%",1,1,2,3
Butembo,62,39,"62,9%",4,1,1,2
Goma,1,0,"0,0%","","","",""
Kalunguta,4,3,"75,0%",0,0,2,2
Katwa,121,77,"63,6%",9,4,3,7
Kyondo,10,7,"70,0%","","","",""
Mabalako,1,0,"0,0%","","","",""
Masereka,4,0,"0,0%","","","",""
Musienene,26,13,"50,0%",4,0,0,0
Oicha,4,3,"75,0%","","","",""
Vuhovi,1,1,"100,0%","","","",""
Sud-Kivu,3,1,"33,3 %",—,"","",—
Miti-Murhesa,3,1,"33,3 %","","","",""
Haut-Uélé,27,15,"55,6 %",6,2,1,3
Boma Mangbetu,6,2,33.3%,2,0,0,0
Isiro,8,5,62.5%,0,0,1,1
Pawa,7,5,71.4%,4,2,0,2
Wamba,6,3,50.0%,"","","",""
Tshopo,5,4,"80,0 %",—,"","",—
Lubunga,1,0,0.0%,"","","",""
Makiso-Kisangani,3,3,100.0%,"","","",""
Mangobo,1,1,100.0%,"","","",""
Total,2 905,1 269,"43,7 %",97,41,21,62
