Indicateurs,Ituri,Nord-Kivu,Global
Complétude des rapports journaliers,93 % (53/57),100 % (14/14),94 % (67/71)
Proportion de PoC activés et PoE renforcés,100 % (57/57),100 % (14/14),100 % (71/71)
Nombre de personnes passées aux PoE/PoC,98 665,58 560,157 225
% des voyageurs screenés,96 %,98 %,96 %
% des voyageurs ayant lavé les mains,97 %,98 %,95 %
% des voyageurs sensibilisés,"98,3 %",98 %,"98,2 %"
Nombre d'alertes notifiées,12,0,12
Nombre d'alertes vivantes validées,8,0,8
Nombre de corps sans vie interceptés ce jour,3,0,3
Nombre de contacts à problème interceptés ce jour,0,0,0
% d'alertes vivantes validées référées au CT/CTE,75 %,0,75 %
% des corps sans vie swabés,0%,0,0 %
Nombre de résultat positif des cas suspects référés,0,0,0
