Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,4510,2009,"44,5%",63,6,19,25
Adja,11,1,"9,1%","","","",0
Aru,7,6,"85,7%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%",1,0,"",0
Bambu,126,28,"22,2%",12,2,"",2
Boga,1,1,"100,0%","","","",0
Bunia,1254,391,"31,2%",10,2,"",2
Damas,27,9,"33,3%",2,0,"",0
Drodro,13,6,"46,2%","","","",0
Fataki,72,30,"41,7%","","","",0
Gethy,5,2,"40,0%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,31,12,"38,7%","","","",0
Komanda,54,37,"68,5%",1,0,"",0
Lita,190,106,"55,8%",4,0,"",0
Logo,11,5,"45,5%","","","",0
Lolwa,17,4,"23,5%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,14,7,"50,0%","","","",0
Mandima,25,16,"64,0%","","","",0
Mangala,188,105,"55,9%",5,0,"",0
Mongbwalu,595,282,"47,4%",2,0,"",0
Nia-Nia,185,105,"56,8%",3,0,"",0
Nizi,580,244,"42,1%",13,0,"",0
Nyankunde,121,35,"28,9%","","","",0
Rimba,10,4,"40,0%","","","",0
Rwampara,895,334,"37,3%",9,2,"",2
Tchomia,52,25,"48,1%",1,0,"",0
A ventiler,NA,206,NA,"","",19,19
Nord-Kivu,680,463,"68,1%",17,10,1,11
Beni,107,78,"72,9%",3,2,"",2
Butembo,132,99,"75,0%",5,1,"",1
Goma,1,0,"0,0%","","","",0
Kalunguta,13,6,"46,2%","","","",0
Katwa,323,217,"67,2%",7,6,1,7
Kyondo,15,12,"80,0%","","","",0
Lubero,1,1,"100,0%","","","",0
Mabalako,2,1,"50,0%","","","",0
Masereka,7,4,"57,1%","","","",0
Musienene,68,39,"57,4%",2,1,"",1
Oicha,6,4,"66,7%","","","",0
Vuhovi,5,2,"40,0%","","","",0
Haut-Uélé,165,75,"45,5%",5,2,2,4
Boma Mangbetu,24,9,"37,5%",1,0,"",0
Gombari,2,1,"50,0%",1,0,"",0
Isiro,60,27,"45,0%",2,1,2,3
Pawa,20,14,"70,0%","","","",0
Rungu,1,0,"0,0%","","","",0
Wamba,58,24,"41,4%",1,1,"",1
Tshopo,15,8,"53,3%",0,0,1,1
Bafwasende,1,0,"0,0%","","","",0
Kabondo,3,1,"33,3%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,6,4,"66,7%","","",1,1
Mangobo,2,2,"100,0%","","","",0
Tshopo,1,0,"0,0%","","","",""
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,2,1,"50,0%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%","","","",""
Total,5375,2557,"47,6%",85,18,23,41
