Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,5104,2324,"45,5%",39,13,6,19
Adja,11,1,"9,1%","","","",0
Aru,8,6,"75,0%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%","","","",0
Bambu,165,36,"21,8%","","","",0
Boga,2,2,"100,0%","","","",0
Bunia,1413,442,"31,3%",6,1,"",1
Damas,28,9,"32,1%","","","",0
Drodro,14,7,"50,0%","","","",0
Fataki,77,30,"39,0%",1,0,"",0
Gethy,6,2,"33,3%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,32,12,"37,5%","","","",0
Komanda,92,62,"67,4%",5,3,"",3
Lita,224,121,"54,0%",4,2,"",2
Logo,11,5,"45,5%","","","",0
Lolwa,22,5,"22,7%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,17,7,"41,2%","","","",0
Mandima,36,21,"58,3%","","","",0
Mangala,263,134,"51,0%",6,1,"",1
Mongbwalu,615,287,"46,7%",3,1,"",1
Nia-Nia,216,113,"52,3%","","","",0
Nizi,670,264,"39,4%",6,3,"",3
Nyankunde,124,35,"28,2%","","","",0
Rimba,11,4,"36,4%",1,0,"",0
Rwampara,964,341,"35,4%",7,2,"",2
Tchomia,57,25,"43,9%","","","",0
A ventiler,NA,345,NA,NA,NA,6,6
Nord-Kivu,888,601,"67,7%",20,12,0,12
Beni,146,105,"71,9%",5,3,"",3
Biena,1,1,"100,0%","","","",0
Butembo,180,134,"74,4%",6,3,"",3
Goma,1,0,"0,0%","","","",0
Kalunguta,16,7,"43,8%","","","",0
Katwa,408,270,"66,2%",4,2,"",2
Kyondo,16,12,"75,0%","","","",0
Lubero,3,3,"100,0%",1,1,"",1
Mabalako,6,5,"83,3%",1,1,"",1
Manguredjipa,2,1,"50,0%",1,1,"",1
Masereka,11,5,"45,5%",2,1,"",1
Musienene,83,47,"56,6%","","","",0
Mutwanga,2,2,"100,0%","","","",0
Oicha,7,6,"85,7%","","","",0
Vuhovi,6,3,"50,0%","","","",0
Haut-Uélé,231,101,"43,7%",4,0,1,1
Boma Mangbetu,27,14,"51,9%","","","",0
Gombari,3,1,"33,3%","","","",0
Isiro,85,34,"40,0%",4,0,1,1
Pawa,37,22,"59,5%","","","",0
Rungu,1,0,"0,0%","","","",0
Wamba,78,30,"38,5%","","","",0
Tshopo,20,9,"45,0%",0,0,0,0
Bafwasende,2,0,"0,0%","","","",0
Kabondo,3,1,"33,3%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,9,5,"55,6%","","","",0
Mangobo,3,2,"66,7%",1,0,"",0
Tshopo,1,0,"0,0%","","","",0
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,4,3,"75,0%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%","","","",0
Ganga,2,2,"100,0%","","","",0
Total,6250,3039,"48,6%",64,25,7,32
