Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,5571,2533,"45,5%",33,6,3,9
Adja,11,1,"9,1%","","","",0
Aru,8,6,"75,0%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%","","","",0
Bambu,179,39,"21,8%",1,0,"",0
Boga,2,2,"100,0%","","","",0
Bunia,1550,487,"31,4%",12,2,"",2
Damas,36,9,"25,0%","","","",0
Drodro,15,7,"46,7%","","","",0
Fataki,78,30,"38,5%","","","",0
Gethy,7,3,"42,9%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,33,12,"36,4%","","","",0
Komanda,127,84,"66,1%",4,2,"",2
Lita,256,125,"48,8%","","","",0
Logo,13,5,"38,5%","","","",0
Lolwa,31,8,"25,8%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,17,7,"41,2%","","","",0
Mandima,46,24,"52,2%",2,0,"",0
Mangala,310,146,"47,1%","","","",0
Mongbwalu,654,296,"45,3%",5,1,"",1
Nia-Nia,232,117,"50,4%",3,1,"",1
Nizi,729,273,"37,4%",2,0,"",0
Nyankunde,125,36,"28,8%","","","",0
Rimba,11,4,"36,4%","","","",0
Rwampara,1007,349,"34,7%",1,0,"",0
Tchomia,68,25,"36,8%",3,0,"",0
A ventiler *,NA,430,NA,"","",3,3
Nord-Kivu,1232,774,"62,8%",50,25,3,28
Beni,208,156,"75,0%",9,5,2,7
Biena,15,6,"40,0%","","","",0
Butembo,230,152,"66,1%",5,2,"",2
Goma,1,0,"0,0%","","","",0
Kalunguta,29,12,"41,4%",5,1,"",1
Katwa,513,330,"64,3%",14,10,"",10
Kayna,1,0,"0,0%","","","",""
Kyondo,29,18,"62,1%",0,0,1,1
Lubero,15,7,"46,7%",5,3,"",3
Mabalako,19,9,"47,4%",1,1,"",1
Manguredjipa,8,3,"37,5%","","","",0
Masereka,19,8,"42,1%",4,2,"",2
Musienene,113,59,"52,2%",3,1,"",1
Mutwanga,5,2,"40,0%",2,0,"",0
Oicha,11,7,"63,6%","","","",0
Vuhovi,16,5,"31,3%",2,0,"",0
Haut-Uélé,276,115,"41,7%",6,1,0,1
Boma Mangbetu,29,14,"48,3%","","","",0
Gombari,3,1,"33,3%","","","",0
Isiro,96,41,"42,7%",1,1,0,1
Pawa,57,25,"43,9%",5,0,0,0
Rungu,2,1,"50,0%","","","",0
Wamba,89,33,"37,1%","","","",0
Tshopo,25,10,"40,0%",1,0,1,1
Bafwasende,5,1,"20,0%",1,0,1,1
Kabondo,4,1,"25,0%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,10,5,"50,0%","","","",0
Mangobo,3,2,"66,7%","","","",0
Tshopo,1,0,"0,0%","","","",0
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas-Uélé,5,3,"60,0%",1,0,0,0
Buta,1,1,"100,00%","","","",0
Viadana,1,0,"0,00%","","","",0
Ganga,3,2,"66,67%",1,0,0,0
Sud Ubangi,1,1,"100,0%",0,0,0,0
Bulu,1,1,"100,0%","","","",0
Total,7113,3437,"48,3%",91,32,7,39
