Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,3979,1726,"43,4%",67,9,15,24
Adja,11,1,"9,1%","","","",0
Aru,7,6,"85,7%","","","",0
Ariwara,7,2,"28,6%","","","",0
Aungba,10,5,"50,0%","","","",0
Bambu,93,22,"23,7%","","","",0
Boga,1,1,"100,0%","","","",0
Bunia,1095,333,"30,4%",23,4,"",4
Damas,21,9,"42,9%",1,0,"",0
Drodro,13,6,"46,2%",1,0,"",0
Fataki,59,30,"50,8%",4,1,"",1
Gethy,2,1,"50,0%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,30,12,"40,0%","","","",0
Komanda,42,29,"69,0%","","","",0
Lita,169,97,"57,4%","","","",0
Logo,11,5,"45,5%","","","",0
Lolwa,14,4,"28,6%",3,0,"",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,13,6,"46,2%","","","",0
Mandima,19,13,"68,4%","","","",0
Mangala,122,76,"62,3%",2,0,"",0
Mongbwalu,581,282,"48,5%",2,1,"",1
Nia-Nia,151,88,"58,3%",5,1,"",1
Nizi,509,231,"45,4%",7,0,"",0
Nyankunde,118,35,"29,7%",1,0,"",0
Rimba,9,4,"44,4%","","","",0
Rwampara,818,319,"39,0%",18,2,"",2
Tchomia,48,24,"50,0%","","","",0
A ventiler,NA,84,NA,NA,NA,15,15
Nord-Kivu,553,395,"71,4%",25,16,10,26
Beni,85,65,"76,5%",5,3,"",3
Butembo,107,91,"85,0%",2,2,3,5
Goma,1,0,"0,0%","","","",0
Kalunguta,10,4,"40,0%","","","",0
Katwa,262,180,"68,7%",13,9,5,14
Kyondo,14,12,"85,7%",1,1,1,2
Lubero,1,1,"100,0%","","","",0
Mabalako,2,1,"50,0%",1,1,"",1
Masereka,7,4,"57,1%","","","",0
Musienene,55,32,"58,2%",2,0,1,1
Oicha,5,4,"80,0%","","","",0
Vuhovi,4,1,"25,0%",1,0,"",0
Haut-Uélé,119,55,"46,2%",6,1,0,1
Boma Mangbetu,22,5,"22,7%",2,"","",0
Gombari,1,1,"100,0%","","","",0
Isiro,37,19,"51,4%",4,1,"",1
Pawa,17,14,"82,4%","","","",0
Rungu,1,0,"0,0%","","","",0
Wamba,41,16,"39,0%","","","",0
Tshopo,10,6,"60,0%",1,1,0,1
Bafwasende,1,0,"0,0%","","","",0
Kabondo,3,2,"66,7%",1,1,"",1
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,3,3,"100,0%","","","",0
Mangobo,1,1,"100,0%","","","",0
Wanie-Rukula,1,0,"0,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,1,1,"100,0%",1,1,0,1
Buta,1,1,"100,0%",1,1,"",1
Total,4665,2184,"46,8%",100,28,25,53
