INDICATEURS CLES,ITURI,SUD-KIVU,NORD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,8 (40%),1,0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"47 (37,6%)",5 (100%),0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"2 (2,7%)",3 (100%),2(100%)
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"36 (20,7%)",11 (100%),8 (100%)
Résultats de laboratoire ayant été annoncés,25,5,0
Dont positifs,10,1,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,3,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,16
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,42,12,0
Nb PPL ayant bénéficié d'interventions SMSPS,16,5,21
Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS,35,32,0
Nbre d'EDS appuyés,1,0,0
