INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"98,1% (54/55)","100,0% (14/14)","98,5% (68/69)"
Nombre de personnes passées aux PoE/PoC,74 710,52 471,357 189
% des voyageurs screenés,"99,3%","97,1%","98,2%"
% des voyageurs ayant lavé les mains,"92,9%","97,1%",95%
% des voyageurs sensibilisés,93%,"97,1%","95,1%"
Nombre d’alertes notifiées,5,0,5
Nombre d’alertes vivantes validées,2,0,2
Nombre des corps sans vie interceptés ce jour,2,1,3
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"33,3%","0,0%","0,0%"
% des corps sans vie swabés,"50,0%","100,0%","75,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
