Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),"Létalité (CFR, %)"
ITURI,916,205,"22,4%"
Bunia,275,44,"16,0%"
Rwampara,211,35,"16,6%"
Mongbwalu,220,91,"41,4%"
Nyankunde,79,7,"8,9%"
Nizi,26,5,"19,2%"
Lita,20,6,"30,0%"
Komanda,10,3,"30,0%"
Bambu,14,2,"14,3%"
Kilo,7,1,"14,3%"
Mangala,7,4,"57,1%"
Tchomia,5,0,"0,0%"
Damas,4,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,3,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,2,1,"50,0%"
Logo,2,0,"0,0%"
Drodro,1,1,"100,0%"
Gety,1,0,"0,0%"
Kambala,1,1,"100,0%"
Nia-Nia,1,1,"100,0%"
Fataki,1,0,"0,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,84,48,"57,1%"
Butembo,27,13,"48,1%"
Katwa,28,17,"60,7%"
Beni,17,12,"70,6%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,2,1,"50,0%"
Goma,1,0,"0,0%"
Masereka,1,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,1,1,"100,0%"
SUD-KIVU,3,1,"33,3%"
Miti-Murhesa,3,1,"33,3%"
TOTAL,1003,254,"25,3%"
