Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (CFR %)
ITURI,1745,601,"34,5%"
Bunia,507,160,"31,6%"
Rwampara,393,90,"22,9%"
Mongbwalu,336,177,"52,7%"
Nyankunde,99,25,"25,3%"
Nizi,121,47,"38,8%"
Lita,48,19,"39,6%"
Komanda,27,8,"29,6%"
Bambu,31,10,"32,3%"
Kilo,9,1,"11,1%"
Mangala,50,29,"58,0%"
Tchomia,19,4,"21,1%"
Damas,5,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,4,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,5,4,"80,0%"
Logo,7,0,"0,0%"
Drodro,4,3,"75,0%"
Gety,1,0,"0,0%"
Kambala,2,2,"100,0%"
Nia-Nia,36,12,"33,3%"
Fataki,4,1,"25,0%"
Mandima,8,3,"37,5%"
Lolwa,1,1,"100,0%"
Boga,1,1,"100,0%"
Ariwara,1,1,"100,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,173,97,"56,1%"
Butembo,44,21,"47,7%"
Katwa,71,47,"66,2%"
Beni,30,20,"66,7%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,7,3,"42,9%"
Goma,1,0,"0,0%"
Masereka,3,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,10,2,"20,0%"
SUD-KIVU,3,1,"33,3%"
Miti-Murhesa,3,1,"33,3%"
HAUT-UÉLÉ,1,1,"100,0%"
Wamba,1,1,"100,0%"
TSHOPO,4,2,"50,0%"
Makiso-Kisangani,2,2,"100,0%"
Mangobo,1,0,"0,0%"
Lubunga,1,0,"0,0%"
TOTAL,1926,702,"36,4%"
