Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),"Létalité (CFR, %)"
ITURI,954,216,"22,6%"
Bunia,285,45,"15,8%"
Rwampara,215,36,"16,7%"
Mongbwalu,229,96,"41,9%"
Nyankunde,86,9,"10,5%"
Nizi,26,5,"19,2%"
Lita,21,6,"28,6%"
Komanda,10,3,"30,0%"
Bambu,14,2,"14,3%"
Kilo,7,1,"14,3%"
Mangala,11,5,"45,5%"
Tchomia,7,0,"0,0%"
Damas,4,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,3,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,2,1,"50,0%"
Logo,2,0,"0,0%"
Drodro,1,1,"100,0%"
Gety,1,0,"0,0%"
Kambala,1,1,"100,0%"
Nia-Nia,2,2,"100,0%"
Fataki,1,0,"0,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,91,50,"54,9%"
Butembo,28,13,"46,4%"
Katwa,31,19,"61,3%"
Beni,18,12,"66,7%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,3,1,"33,3%"
Goma,1,0,"0,0%"
Masereka,1,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,2,1,"50,0%"
SUD-KIVU,3,1,"33,3%"
Miti-Murhesa,3,1,"33,3%"
TOTAL,1048,267,"25,5%"
