Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),"Létalité (CFR, %)"
ITURI,1165,301,"25,8%"
Bunia,338,71,"21,0%"
Rwampara,282,52,"18,4%"
Mongbwalu,258,118,"45,7%"
Nyankunde,94,13,"13,8%"
Nizi,37,9,"24,3%"
Lita,27,7,"25,9%"
Komanda,16,5,"31,3%"
Bambu,16,4,"25,0%"
Kilo,9,1,"11,1%"
Mangala,20,9,"45,0%"
Tchomia,11,0,"0,0%"
Damas,5,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,3,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,2,1,"50,0%"
Logo,7,0,"0,0%"
Drodro,3,3,"100,0%"
Gety,1,0,"0,0%"
Kambala,1,1,"100,0%"
Nia-Nia*,7,4,"57,1%"
Fataki,1,0,"0,0%"
Mandima,1,0,"0,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,106,58,"54,7%"
Butembo,33,14,"42,4%"
Katwa,37,23,"62,2%"
Beni,22,13,"59,1%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,3,2,"66,7%"
Goma,1,0,"0,0%"
Masereka,1,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,2,2,"100,0%"
SUD-KIVU,3,1,"33,3%"
Miti-Murhesa,3,1,"33,3%"
TOTAL,1274,360,"28,3%"
