Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"10 (27,8 %)",0
Cas confirmés en cours de suivi,"67 (53,2 %)",8 (100 %)
Nouveaux cas suspects,"5 (15,6 %)",15 (100 %)
Cas suspects en cours de suivi,"80 (69,0 %)",15 (100 %)
Résultats de laboratoire annoncés (dont positifs),19 (10),6 (0)
Enfants séparés — crèche / communauté,5 / 0,0 / 0
Accompagnants au CTE,19,1
Personnels de première ligne (PPL),1,0
Membres des ménages / communautés,23,0
EDS appuyés (SMSPS),2,0
