Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24 h) Nouv. cas,Situation du jour (24 h) Décès communautaires (Swab+).,Situation du jour (24 h) Décès confirmés intra-CTE,Situation du jour (24 h) Total décès confirmés
Ituri,2 202,838,"38,1 %",42,13,14,27
Bunia,657,219,"33,3%",18,4,4,8
Rwampara,457,140,"30,6%",7,2,5,7
Mongbwalu,364,204,"56,0%",1,0,1,1
Nizi,223,99,"44,4%",9,6,0,6
Nyankunde,99,28,"28,3%","","","",""
Lita,78,27,"34,6%","","","",""
Mangala,61,38,"62,3%","","","",""
Nia-Nia,54,16,"29,6%",3,0,1,1
Bambu,40,14,"35,0%","","","",""
Komanda,27,11,"40,7%",0,0,1,1
Tchomia,23,7,"30,4%",0,0,1,1
Non identifiées,17,0,"0,0 %","","","",""
Fataki,11,7,"63,6%","","","",""
Kilo,11,3,"27,3%","","","",""
Adja,10,1,"10,0%","","","",""
Mandima,10,5,"50,0%",1,1,0,1
Mambasa,8,6,"75,0%","","","",""
Logo,8,1,"12,5%","","","",""
Ariwara,10,1,"10,0%",3,0,0,0
Damas,7,0,"0,0%","","","",""
Aungba,6,2,"33,3%","","","",""
Drodro,5,3,"60,0%","","","",""
Rimba,5,0,"0,0%","","","",""
Aru,4,2,"50,0%",0,0,1,1
Kambala,2,2,"100,0%","","","",""
Lolwa,2,1,"50,0%","","","",""
Boga,1,1,"100,0%","","","",""
Gety,1,0,"0,0%","","","",""
Mahagi,1,0,"0,0%","","","",""
Nord-Kivu,247,146,"59,1 %",8,3,2,5
Katwa,108,74,"68,5 %",4,1,1,2
Butembo,61,31,"50,8 %",3,1,0,1
Beni,37,25,"67,6 %","","","",""
Musienene,19,5,"26,3 %","","","",""
Kyondo,10,5,"50,0 %",1,1,0,1
Oicha,4,4,"100,0 %",0,0,1,1
Kalunguta,2,1,"50,0 %","","","",""
Masereka,3,0,"0,0 %","","","",""
Goma,1,0,"0,0 %","","","",""
Vuhovi,1,1,"100,0 %","","","",""
Mabalako,1,0,"0,0 %","","","",""
Sud-Kivu,3,1,"33,3 %",—,"","",—
Miti-Murhesa,3,1,"33,3 %","","","",""
Haut-Uélé,16,10,"62,5 %",—,"","",—
Wamba,6,3,"50,0 %","","","",""
Pawa,3,3,"100,0 %","","","",""
Boma Mangbetu,4,2,"50,0 %","","","",""
Isiro,3,2,"66,7 %","","","",""
Tshopo,5,4,"80,0 %",—,"","",—
Makiso-Kisangani,3,3,"100,0 %","","","",""
Mangobo,1,1,"100,0 %","","","",""
Lubunga,1,0,"0,0 %","","","",""
Total,2 473,999,"40,4 %",50,16,16,32
