INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"3 (100,0%)","5 (125,0%)",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"54 (49,5%)","12 (100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"13 (61,9%)","2 (100,0%)",0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"71 (74,7%)","17 (100,0%)","3 (100,0%)"
Résultats de laboratoire ayant été annoncés,9,28,0
Dont positifs,4,7,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,3,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,6
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,49,13,1
Nb PPL ayant bénéficié d'interventions SMSPS,36,12,1
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,27,2,0
Nbre d'EDS appuyés,9,7,0
