Province,Zone de sante,Cas confirmes - statut final,Deces confirmes - (Communautaire +intra Hosp),Taux de letalite,Deces a la notification,Cas confirmes notifies dans 24h,Deces confirmes parmi les notifies dans 24h,Taux de letalite parmi les cas confirmes notifies en 24h de DOS,Décès communautaire : Décès à la notification + Décès en 24h de notification,Taux de létalité (décès communautaire),Cas confirmes notifies apres 24h,Deces confirmes parmi les notifies apres 24h,Taux de letalite parmi les cas confirmes notifies après 24h de DOS
Ituri,Bunia,430,82,19.1%,80,108,20,18.5%,100,23.3%,282,53,18.8%
Ituri,Rwampara,326,59,18.1%,41,107,22,20.6%,63,19.3%,177,27,15.3%
Ituri,Mongbwalu,261,95,36.4%,95,60,24,40.0%,119,45.6%,189,66,34.9%
Ituri,Nyankunde,94,7,7.4%,5,34,0,0.0%,8,8.5%,37,5,8.8%
Ituri,Nizi,93,31,33.3%,30,19,9,47.4%,39,41.9%,47,11,23.4%
Ituri,Lita,41,16,39.0%,16,10,3,30.0%,19,46.3%,24,9,37.5%
Ituri,Mangala,30,12,40.0%,12,8,4,50.0%,16,53.3%,7,1,14.3%
Ituri,Komanda,22,6,27.3%,6,6,1,16.7%,7,31.8%,11,4,36.4%
Ituri,Bambu,19,3,15.8%,3,7,0,0.0%,3,15.8%,11,2,18.2%
Ituri,Tchomia,18,8,44.4%,4,4,1,25.0%,5,27.8%,13,7,53.8%
Ituri,Kilo,12,2,16.7%,2,3,0,0.0%,2,16.7%,7,2,28.6%
Ituri,Nia Nia,9,3,33.3%,3,2,0,0.0%,3,33.3%,5,2,40.0%
Ituri,Damas,7,2,28.6%,2,1,0,0.0%,2,28.6%,4,1,25.0%
Ituri,Aungba,5,2,40.0%,2,3,1,33.3%,3,60.0%,1,0,0.0%
Ituri,Mambasa,5,3,60.0%,3,1,0,0.0%,3,60.0%,1,0,0.0%
Ituri,Aru,4,1,25.0%,1,2,1,50.0%,2,50.0%,1,0,0.0%
Ituri,Mandima,4,1,25.0%,1,0,0,0.0%,1,25.0%,3,1,33.3%
Ituri,Drodro,3,3,100.0%,3,0,0,0.0%,3,100.0%,3,3,100.0%
Ituri,Rimba,3,0,0.0%,0,0,0,0.0%,0,0.0%,3,0,0.0%
Ituri,Logo,2,0,0.0%,0,1,0,0.0%,0,0.0%,1,0,0.0%
Ituri,Adi,1,1,100.0%,1,0,0,0.0%,1,100.0%,0,0,0.0%
Ituri,Fataki,1,0,0.0%,0,0,0,0.0%,0,0.0%,1,0,0.0%
Ituri,Gety,1,0,0.0%,0,1,0,0.0%,0,0.0%,0,0,0.0%
Ituri,Kambala,1,0,0.0%,0,0,0,0.0%,0,0.0%,0,0,0.0%
Ituri,Lolwa,1,1,100.0%,1,0,0,0.0%,1,100.0%,1,1,100.0%
Nord Kivu,Katwa,49,26,53.1%,26,40,23,57.5%,49,100.0%,6,2,33.3%
Nord Kivu,Beni,24,17,70.8%,12,5,5,100.0%,17,70.8%,15,9,60.0%
Nord Kivu,Butembo,19,9,47.4%,6,3,0,0.0%,6,31.6%,16,9,56.3%
Nord Kivu,Kyondo,2,1,50.0%,0,0,0,0.0%,0,0.0%,2,1,50.0%
Nord Kivu,Goma,1,0,0.0%,0,1,0,0.0%,0,0.0%,0,0,0.0%
Sud Kivu,Miti Murhesa,3,1,33.3%,1,0,0,0.0%,1,33.3%,1,1,100.0%
TOTAL,TOTAL,"1,491",392,26.3%,359,426,116,27.2%,475,31.9%,889,217,24.4%
