INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"83,6% (46/55)","92,3% (12/13)","85,3% (58/68)"
Nombre des personnes passées aux PoE/PoC,72 826,39 229,112 055
% des voyageurs screenés,"97,0%","96,9%","97,0%"
% des voyageurs ayant lavé les mains,"97,0%","96,6%","97,0%"
% des voyageurs sensibilisés,"97,0%","96,9%","97,0%"
Nombre d’alertes notifiées,6,2,8
Nombre d’alertes vivantes validées,4,1,5
Nombre des corps sans vie interceptés ce jour,1,0,1
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"100,0%","100,0%","100,0%"
% des corps sans vie swabé,"0,0%","0,0%","0,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
