Zone de santé,PoE/PoC,Tot v passées,Tot v screenés,Total lavage de mains,Tot v sensiblisés,Tot alertes,Tot refus Lavage mains,Tot refus screening
NIZI,PONT NIZI,0,0,0,0,0,0,0
BUNIA,AEROPORT,0,0,0,0,0,0,0
BUNIA,MUDZIBALA,1473,1473,1473,1473,0,0,0
BUNIA,PONT SIMBILIABO,0,0,0,0,0,0,0
RWAMPARA,PONT SHARI,0,0,0,0,0,0,0
RWAMPARA,DELE,940,940,940,940,0,0,0
RWAMPARA,CHAI,0,0,0,0,0,0,0
TCHOMIA,TCHOMIA,71,71,71,71,0,0,0
TCHOMIA,NYAMUSASI,0,0,0,0,0,0,0
TCHOMIA,KASENYI,59,59,59,59,0,0,0
TCHOMIA,MANDJE,0,0,0,0,0,0,0
NYAKUNDE,MARABO,0,0,0,0,0,0,0
NYAKUNDE,ENTREE NYAK.,0,0,0,0,0,0,0
NYAKUNDE,SOTA,0,0,0,0,0,0,0
NYAKUNDE,PONT TALOLO,0,0,0,0,0,0,0
MUNGWALU,POIPO,0,0,0,0,0,0,0
MUNGWALU,MAHIDEDE,0,0,0,0,0,0,0
MUNGWALU,PONT PLITO,0,0,0,0,0,0,0
MUNGWALU,PONT KIRIKOU,0,0,0,0,0,0,0
