INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"2 (18,2%)","0,0%",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"98 (61,6%)","0,0%",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"29 (80,6%)","0,0%",2
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"62 (37,3%)","0,0%","1 (100,0%)"
Résultats de laboratoire ayant été annoncés,12,"",1
Dont positifs,2,0,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,6,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,7
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,67,0,0
Nb PPL ayant bénéficié d'interventions SMSPS,26,1,0
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,32,0,0
Nbre d'EDS appuyés,2,0,0
