Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,"79,5% (58/73)",100% (19/19),"55,5% (5/9)","88,8% (16/18)","64,0% (7/11)",ND,"84,6% (99/117)"
% des PoE/PoC stratégiques fonctionnels,100%,100%,100%,100%,100%,ND,100%
Nombre de personnes passées aux PoE/PoC,124 889,88 561,7 129,14 998,12 208,6 034,253 819
% des voyageurs screenés,"97,00%","97,90%","98,70%","99,30%","99,00%","98,00%","97,60%"
% des voyageurs ayant lavé les mains,"97,60%","97,90%","98,70%","99,50%","99,00%",ND,"97,90%"
% des voyageurs sensibilisés,"99,40%","97,90%","100,00%","100,00%","99,00%",ND,"98,90%"
Nombre d’alertes notifiées,2,0,0,0,0,5,7
Nombre d’alertes vivantes validées (cas suspects),1,0,0,0,0,0,1
Nombre de corps sans vie interceptés ce jour,1,0,0,0,0,0,1
% des cas suspects transférés au CT/CTE,100%,NA,NA,NA,NA,NA,100%
% des corps sans vie swabés/sécurisés,100%,NA,NA,NA,NA,NA,100%
% des cas suspects investigués dans 24 h,100%,NA,NA,NA,NA,100%,100%
