Indicateurs,Ituri,Nord-Kivu,Global
Complétude des rapports journaliers,"93,2 % (55/59)",100 % (14/14),"94,5 % (69/73)"
Proportion de PoC activés et PoE renforcés,100 % (59/59),100 % (14/14),100 % (73/73)
Nombre de personnes passées aux PoE/PoC,95 006,56 579,151 585
% des voyageurs screenés,"91,0%","97,9%",96 %
% des voyageurs ayant lavé les mains,97 %,"97,9 %",97 %
% des voyageurs sensibilisés,"98,3 %","97,9 %","98,2 %"
Nombre d'alertes notifiées,10,2,12
Nombre d'alertes vivantes validées,9,0,9
Nombre de corps sans vie interceptés ce jour,1,2,3
Nombre de contacts à problème interceptés ce jour,0,0,0
% d'alertes vivantes validées référées au CT/CTE,89 % (8/9),0,89 %
% des corps sans vie swabés,0 %,0 %,0 %
Nombre de résultat positif des cas suspects référés,0,0,0
