Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24 h) Nouv. cas,Situation du jour (24 h) Décès communautaires (Swab+).,Situation du jour (24 h) Décès confirmés intra-CTE,Situation du jour (24 h) Total décès confirmés
Ituri,1 904,692,"36,3 %",41,16,8,24
Bunia,570,191,"33,5 %",14,4,4,8
Rwampara,418,104,"24,9 %",6,"",1,1
Mongbwalu,347,192,"55,3 %",5,3,1,4
Nizi,148,67,"45,3 %",9,8,1,9
Nyankunde,99,26,"26,3 %","","","",""
Mangala,50,29,"58,0 %","","","",""
Lita,66,23,"34,8 %",2,"","",0
Nia-Nia,42,9,"21,4 %",1,"","",0
Bambu,31,11,"35,5 %","","",1,1
Komanda,27,10,"37,0 %","","","",""
Tchomia,19,4,"21,1 %","","","",""
Non identifiées,17,0,"0,0 %","","","",""
Kilo,10,2,"20,0 %",1,1,"",1
Mandima,9,4,"44,4 %","","","",""
Logo,7,0,"0,0 %","","","",""
Aungba,6,2,"33,3 %","","","",""
Damas,7,0,"0,0 %",2,"","",0
Mambasa,5,4,"80,0 %","","","",""
Rimba,4,0,"0,0 %","","","",""
Fataki,6,5,"83,3 %","","","",""
Drodro,5,3,"60,0 %","","","",""
Aru,3,1,"33,3 %","","","",""
Kambala,2,2,"100,0 %","","","",""
Gety,1,0,"0,0 %","","","",""
Lolwa,2,1,"50,0 %","","","",""
Boga,1,1,"100,0 %","","","",""
Ariwara,1,1,"100,0 %","","","",""
Mahagi,1,0,"0,0 %",1,"","",0
Nord-Kivu,199,119,"59,8 %",10,8,0,8
Katwa,82,59,"72,0 %",4,3,0,3
Butembo,52,26,"50,0 %",3,2,0,2
Beni,33,22,"66,7 %",2,2,0,2
Musienene,14,4,"28,6 %",1,1,0,1
Kyondo,7,3,"42,9 %","","","",""
Kalunguta,2,1,"50,0 %","","","",""
Masereka,3,0,"0,0 %","","","",""
Oicha,3,3,"100,0 %","","","",""
Goma,1,0,"0,0 %","","","",""
Vuhovi,1,1,"100,0 %","","","",""
Mabalako,1,0,"0,0 %","","","",""
Sud-Kivu,3,1,"33,3 %",—,"","",—
Miti-Murhesa,3,1,"33,3 %","","","",""
Haut-Uélé,14,13,"92,9 %",—,"","",—
Wamba,8,8,"100,0 %","","","",""
Pawa,3,3,"100,0 %","","","",""
Boma Mangbetu,2,1,"50,0 %","","","",""
Isiro,1,1,"100,0 %","","","",""
Tshopo,4,3,"75,0 %",—,"","",—
Makiso-Kisangani,2,2,"100,0 %","","","",""
Mangobo,1,0,"0,0 %","","","",""
Lubunga,1,1,"100,0 %","","","",""
Total,2 124,828,"39,0 %",51,24,8,32
