Indicateurs,Ituri,Nord-Kivu,Global
Complétude des rapports journaliers,93 % (53/57),100 % (14/14),94 % (67/71)
Proportion de PoC activés et PoE renforcés,100 % (57/57),100 % (14/14),100 % (71/71)
Nombre de personnes passées aux PoE/PoC,94 294,60 187,154 481
% des voyageurs screenés,94 %,98 %,96 %
% des voyageurs ayant lavé les mains,93 %,98 %,95 %
% des voyageurs sensibilisés,"98,3 %",98 %,"98,2 %"
Nombre d'alertes notifiées,6,1,7
Nombre d'alertes vivantes validées,5,0,5
Nombre de corps sans vie interceptés ce jour,0,1,1
Nombre de contacts à problème interceptés ce jour,0,0,0
% d'alertes vivantes validées référées au CT/CTE,100 %,s.o.,100 %
% des corps sans vie swabés,s.o.,100 %,100 %
Nombre de résultat positif des cas suspects référés,0,0,0
