INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,100% (57/57),"100,0% (14/14)","100,0% (71/71)"
Nombre de personnes passées aux PoE/PoC,108 402,56 464,164 866
% des voyageurs screenés,"92,8%","98,0%","94,6%"
% des voyageurs ayant lavé les mains,"93,1%","98,0%","94,8%"
% des voyageurs sensibilisés,"98,9%","98,0%","98,6%"
Nombre d’alertes notifiées,5,2,7
Nombre d’alertes vivantes validées,2,2,4
Nombre des corps sans vie interceptés ce jour,0,2,2
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,100%,0%,50%
% des corps sans vie swabés,NA,0%,0%
Nombre de résultat positif des cas suspects référés,0,0,0
