Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (CFR %)
ITURI,1417,424,"29,9"
Bunia,438,118,"26,9"
Rwampara,344,71,"20,6"
Mongbwalu,278,141,"50,7"
Nyankunde,95,17,"17,9"
Nizi,72,19,"26,4"
Lita,33,12,"36,4"
Komanda,22,8,"36,4"
Bambu,18,5,"27,8"
Kilo,9,1,"11,1"
Mangala,26,14,"53,8"
Tchomia,15,2,"13,3"
Damas,5,0,"0,0"
Aungba,6,2,"33,3"
Rimba,3,0,"0,0"
Aru,3,1,"33,3"
Mambasa,2,1,"50,0"
Logo,7,0,"0,0"
Drodro,3,3,"100,0"
Gety,1,0,"0,0"
Kambala,2,2,"100,0"
Nia-Nia,12,5,"41,7"
Fataki,1,0,"0,0"
Mandima,4,1,"25,0"
Lolwa,1,1,"100,0"
Autres zones non encore identifiées,17,0,"0,0"
NORD-KIVU,141,81,"57,4"
Butembo,40,18,"45,0"
Katwa,52,38,"73,1"
Beni,29,17,"58,6"
Oicha,3,2,"66,7"
Kalunguta,2,1,"50,0"
Kyondo,4,2,"50,0"
Goma,1,0,"0,0"
Masereka,2,0,"0,0"
Vuhovi,1,1,"100,0"
Mabalako,1,0,"0,0"
Musienene,6,2,"33,3"
SUD-KIVU,3,1,"33,3"
Miti-Murhesa,3,1,"33,3"
TOTAL,1 561,506,"32,4"
